index,n_particles,n_simulations,parallel_time,serial_time
0,250,1,0.9080557823181152,0.00213623046875
0,500,1,0.9065241813659668,0.0030090808868408203
0,750,1,0.950026273727417,0.0068089962005615234
0,1000,1,1.0174188613891602,0.008923768997192383
0,1250,1,0.997051477432251,0.011897563934326172
0,1500,1,0.9804317951202393,0.01744985580444336
0,1750,1,0.9601249694824219,0.02538752555847168
0,2000,1,1.0217602252960205,0.03093886375427246
0,250,2,1.0594539642333984,0.0025246143341064453
0,500,2,1.2221643924713135,0.0048983097076416016
0,750,2,1.2090275287628174,0.00951242446899414
0,1000,2,1.0194785594940186,0.018990039825439453
0,1250,2,1.1545627117156982,0.026903867721557617
0,1500,2,1.0880355834960938,0.04239487648010254
0,1750,2,1.2927346229553223,0.05012917518615723
0,2000,2,0.9888832569122314,0.06267762184143066
0,250,3,1.2826926708221436,0.0032498836517333984
0,500,3,1.1893808841705322,0.007391452789306641
0,750,3,1.158297061920166,0.015164852142333984
0,1000,3,1.29227876663208,0.02388477325439453
0,1250,3,1.1771657466888428,0.035685062408447266
0,1500,3,1.1870839595794678,0.05195355415344238
0,1750,3,1.2297217845916748,0.06482601165771484
0,2000,3,1.2742578983306885,0.0873103141784668
0,250,4,1.3139240741729736,0.0038166046142578125
0,500,4,1.626126766204834,0.011116504669189453
0,750,4,1.6233747005462646,0.024388790130615234
0,1000,4,1.7397420406341553,0.03932547569274902
0,1250,4,1.6433391571044922,0.06082606315612793
0,1500,4,1.7351326942443848,0.09193921089172363
0,1750,4,1.6676113605499268,0.12173318862915039
0,2000,4,1.8021318912506104,0.16376972198486328
0,250,5,2.080906867980957,0.0057332515716552734
0,500,5,1.8344228267669678,0.014006376266479492
0,750,5,1.8028061389923096,0.03157448768615723
0,1000,5,1.8732020854949951,0.05260896682739258
0,1250,5,1.8669447898864746,0.07999300956726074
0,1500,5,1.878213882446289,0.1081094741821289
0,1750,5,1.8773059844970703,0.1627178192138672
0,2000,5,1.9181976318359375,0.1851341724395752
0,250,1,0.9100327491760254,0.0021195411682128906
0,500,1,0.9578936100006104,0.0034537315368652344
0,750,1,0.910844087600708,0.005373716354370117
0,1000,1,0.986748456954956,0.00905466079711914
0,1250,1,0.9324655532836914,0.015236616134643555
0,1500,1,1.0091447830200195,0.01882791519165039
0,1750,1,0.9571926593780518,0.029118776321411133
0,2000,1,0.9451761245727539,0.03023838996887207
0,250,2,1.0646440982818604,0.003076314926147461
0,500,2,1.1002740859985352,0.005434751510620117
0,750,2,1.1681063175201416,0.011112213134765625
0,1000,2,1.1049082279205322,0.019948959350585938
0,1250,2,1.1008594036102295,0.02812957763671875
0,1500,2,1.246675729751587,0.040445566177368164
0,1750,2,1.1386396884918213,0.04956626892089844
0,2000,2,1.137568473815918,0.06841373443603516
0,250,3,1.367379903793335,0.004021644592285156
0,500,3,1.361210823059082,0.009068489074707031
0,750,3,1.2846078872680664,0.017142772674560547
0,1000,3,1.4220497608184814,0.029244422912597656
0,1250,3,1.4596376419067383,0.04227805137634277
0,1500,3,1.3876359462738037,0.05878567695617676
0,1750,3,1.430790662765503,0.08099246025085449
0,2000,3,1.3934900760650635,0.11014103889465332
0,250,4,1.597611665725708,0.0047283172607421875
0,500,4,1.6175570487976074,0.012824773788452148
0,750,4,1.5450985431671143,0.02348613739013672
0,1000,4,1.5873405933380127,0.03798842430114746
0,1250,4,1.6747241020202637,0.05937790870666504
0,1500,4,1.6250593662261963,0.08917069435119629
0,1750,4,1.6551752090454102,0.1083223819732666
0,2000,4,1.6637611389160156,0.15081143379211426
0,250,5,1.8447439670562744,0.0054073333740234375
0,500,5,1.8047771453857422,0.015208005905151367
0,750,5,1.8440346717834473,0.03210282325744629
0,1000,5,1.8449804782867432,0.05684661865234375
0,1250,5,1.7907187938690186,0.07548403739929199
0,1500,5,1.7818174362182617,0.12639307975769043
0,1750,5,1.872307300567627,0.1505117416381836
0,2000,5,1.9472930431365967,0.20218205451965332
0,250,1,0.9270076751708984,0.0021135807037353516
0,500,1,1.0469324588775635,0.003515958786010742
0,750,1,0.9592087268829346,0.0058023929595947266
0,1000,1,0.9821741580963135,0.008356571197509766
0,1250,1,0.9399518966674805,0.015764236450195312
0,1500,1,0.9465250968933105,0.016587257385253906
0,1750,1,0.9665114879608154,0.02661442756652832
0,2000,1,0.9454071521759033,0.032419443130493164
0,250,2,1.1531176567077637,0.0028891563415527344
0,500,2,1.0269794464111328,0.005393505096435547
0,750,2,1.1250536441802979,0.011214494705200195
0,1000,2,1.1695706844329834,0.017295360565185547
0,1250,2,1.1063332557678223,0.027537822723388672
