n_particles,parallel_time,serial_time,Pool,ThreadPool
0,100,0.0367128849029541,0.0019288063049316406,True,False
0,350,0.08685135841369629,0.025963783264160156,True,False
0,600,0.09915471076965332,0.06844639778137207,True,False
0,850,0.09421515464782715,0.13299942016601562,True,False
0,1100,0.10503387451171875,0.18218255043029785,True,False
0,1350,0.13271117210388184,0.30231213569641113,True,False
0,1600,0.1530911922454834,0.380443811416626,True,False
0,1850,0.18265795707702637,0.5488948822021484,True,False
0,2100,0.2292642593383789,0.6754796504974365,True,False
0,2350,0.2667710781097412,0.8422062397003174,True,False
0,2600,0.2759377956390381,0.9815182685852051,True,False
0,2850,0.32911038398742676,1.2804477214813232,True,False
0,3100,0.5332775115966797,1.7518384456634521,True,False
0,3350,0.47628092765808105,1.7066583633422852,True,False
0,3600,0.5042200088500977,1.9194023609161377,True,False
0,3850,0.6701312065124512,2.141923427581787,True,False
0,4100,0.8252816200256348,2.7591440677642822,True,False
0,4350,0.7623696327209473,3.4964375495910645,True,False
0,4600,0.8335590362548828,3.324314594268799,True,False
0,4850,1.066110372543335,3.5972137451171875,True,False
0,100,0.03526186943054199,0.003092527389526367,True,False
0,350,0.14998269081115723,0.0510249137878418,True,False
0,600,0.31838512420654297,0.14295339584350586,True,False
0,850,0.12441325187683105,0.1495192050933838,True,False
0,1100,0.1500530242919922,0.25380539894104004,True,False
0,1350,0.15434718132019043,0.38964247703552246,True,False
0,1600,0.18526649475097656,0.6192831993103027,True,False
0,1850,0.25044798851013184,0.7740623950958252,True,False
0,2100,0.23998785018920898,0.8832521438598633,True,False
0,2350,0.3155488967895508,1.1736843585968018,True,False
0,2600,0.5884277820587158,1.361194133758545,True,False
0,2850,0.34651780128479004,1.6021966934204102,True,False
0,3100,0.4288971424102783,1.8488216400146484,True,False
0,3350,0.5771503448486328,2.1292474269866943,True,False
0,3600,0.6173951625823975,2.3091304302215576,True,False
0,3850,0.5665061473846436,2.4211270809173584,True,False
0,4100,0.6931555271148682,3.339066743850708,True,False
0,4350,0.6677079200744629,3.444671869277954,True,False
0,4600,1.0121819972991943,3.750497341156006,True,False
0,4850,0.8528456687927246,3.7327685356140137,True,False
0,100,0.03498435020446777,0.0021162033081054688,True,False
0,350,0.0935816764831543,0.039925575256347656,True,False
0,600,0.09873318672180176,0.12057113647460938,True,False
0,850,0.13050293922424316,0.2462928295135498,True,False
0,1100,0.14174747467041016,0.24756646156311035,True,False
0,1350,0.20737218856811523,0.4179360866546631,True,False
0,1600,0.18736982345581055,0.5942509174346924,True,False
0,1850,0.2688620090484619,0.7410244941711426,True,False
0,2100,0.3010518550872803,0.9555196762084961,True,False
0,2350,0.2972540855407715,1.1270818710327148,True,False
0,2600,0.3810241222381592,1.3900964260101318,True,False
0,2850,0.3891763687133789,1.706773281097412,True,False
0,3100,0.39510345458984375,1.8684561252593994,True,False
0,3350,0.6207849979400635,2.1049540042877197,True,False
0,3600,0.5805511474609375,2.5671379566192627,True,False
0,3850,0.6452014446258545,2.748574733734131,True,False
0,4100,0.7783141136169434,3.5225396156311035,True,False
0,4350,0.8870420455932617,3.5507702827453613,True,False
0,4600,0.9373304843902588,3.9923477172851562,True,False
0,4850,0.9456005096435547,3.9977970123291016,True,False
0,100,0.034459829330444336,0.002087831497192383,True,False
0,350,0.10749053955078125,0.038079261779785156,True,False
0,600,0.2999119758605957,0.09359216690063477,True,False
0,850,0.12092971801757812,0.19966912269592285,True,False
0,1100,0.17490744590759277,0.2512240409851074,True,False
0,1350,0.15430045127868652,0.40487122535705566,True,False
0,1600,0.25606465339660645,0.5853831768035889,True,False
0,1850,0.23460030555725098,0.7768595218658447,True,False
0,2100,0.2572188377380371,0.9027371406555176,True,False
0,2350,0.371246337890625,1.1388695240020752,True,False
0,2600,0.39605283737182617,1.4026579856872559,True,False
0,2850,0.6012883186340332,1.803846836090088,True,False
0,3100,0.47770142555236816,2.047433376312256,True,False
0,3350,0.47057390213012695,1.966618537902832,True,False
0,3600,0.5823380947113037,2.6057231426239014,True,False
0,3850,0.6476936340332031,2.980496883392334,True,False
0,4100,0.6127064228057861,3.093029022216797,True,False
0,4350,0.7041969299316406,3.447427988052368,True,False
0,4600,0.8549659252166748,3.873795747756958,True,False
0,4850,1.0899219512939453,4.218642950057983,True,False
0,100,0.05368971824645996,0.003171682357788086,True,False
0,350,0.07301139831542969,0.030014753341674805,True,False
0,600,0.12987709045410156,0.09344649314880371,True,False
0,850,0.15847206115722656,0.18751811981201172,True,False
0,1100,0.2081000804901123,0.2775108814239502,True,False
0,1350,0.32943201065063477,0.4227101802825928,True,False
0,1600,0.22704720497131348,0.6515827178955078,True,False
0,1850,0.22197413444519043,0.7356266975402832,True,False
0,2100,0.2699391841888428,0.9706776142120361,True,False
0,2350,0.4987962245941162,1.1349072456359863,True,False
0,2600,0.3567051887512207,1.3293578624725342,True,False
0,2850,0.3649885654449463,1.506762981414795,True,False
0,3100,0.4209725856781006,1.5550765991210938,True,False
0,3350,0.516089677810669,2.1254618167877197,True,False
0,3600,0.5689980983734131,2.170703411102295,True,False
0,3850,0.6092076301574707,2.4920711517333984,True,False
0,4100,0.7244594097137451,3.7037570476531982,True,False
0,4350,0.9188780784606934,4.396318674087524,True,False
0,4600,1.006937026977539,4.025252342224121,True,False
0,4850,1.101567029953003,4.163919925689697,True,False
0,100,0.05092334747314453,0.002711772918701172,True,False
0,350,0.1754446029663086,0.038623809814453125,True,False
0,600,0.1300346851348877,0.09386110305786133,True,False
0,850,0.1335914134979248,0.17746806144714355,True,False
0,1100,0.24500608444213867,0.30056023597717285,True,False
0,1350,0.1685314178466797,0.4242289066314697,True,False
0,1600,0.17947101593017578,0.5738778114318848,True,False
0,1850,0.20351624488830566,0.7434158325195312,True,False
0,2100,0.27403974533081055,0.8839054107666016,True,False
0,2350,0.3484048843383789,1.141380786895752,True,False
0,2600,0.3346846103668213,1.3279540538787842,True,False
0,2850,0.4263498783111572,1.641786813735962,True,False
0,3100,0.3901708126068115,1.5168132781982422,True,False
0,3350,0.696523904800415,2.1690948009490967,True,False
0,3600,0.49616456031799316,2.2838351726531982,True,False
0,3850,0.6771132946014404,2.968571901321411,True,False
0,4100,0.6607167720794678,3.081878423690796,True,False
0,4350,0.7364003658294678,3.591569662094116,True,False
0,4600,0.9348554611206055,3.8099989891052246,True,False
0,4850,0.8653156757354736,4.145106077194214,True,False
0,100,0.04723787307739258,0.0036351680755615234,True,False
0,350,0.10945868492126465,0.04124736785888672,True,False
0,600,0.10541510581970215,0.09476089477539062,True,False
0,850,0.14878010749816895,0.17258882522583008,True,False
0,1100,0.18291091918945312,0.3083367347717285,True,False
0,1350,0.1698300838470459,0.41986727714538574,True,False
0,1600,0.2024538516998291,0.5631351470947266,True,False
0,1850,0.21094608306884766,0.7212209701538086,True,False
0,2100,0.29929184913635254,0.9256329536437988,True,False
0,2350,0.3349144458770752,1.262322187423706,True,False
0,2600,0.3241095542907715,1.2729527950286865,True,False
0,2850,0.38989734649658203,1.461047649383545,True,False
0,3100,0.4338386058807373,1.736023187637329,True,False
0,3350,0.4887707233428955,2.243206262588501,True,False
0,3600,0.6286797523498535,2.2020795345306396,True,False
0,3850,0.5779232978820801,2.473728895187378,True,False
0,4100,0.7677295207977295,3.4506301879882812,True,False
0,4350,0.7669358253479004,3.3218209743499756,True,False
0,4600,0.9078974723815918,3.633721351623535,True,False
0,4850,0.8783416748046875,4.1096415519714355,True,False
0,100,0.057622671127319336,0.0026628971099853516,True,False
0,350,0.24760746955871582,0.047575950622558594,True,False
0,600,0.09096026420593262,0.10289192199707031,True,False
0,850,0.13939428329467773,0.16468429565429688,True,False
0,1100,0.17047786712646484,0.31923675537109375,True,False
0,1350,0.17560696601867676,0.43671703338623047,True,False
0,1600,0.19058895111083984,0.5655841827392578,True,False
0,1850,0.21404409408569336,0.7411143779754639,True,False
0,2100,0.2852647304534912,0.8548810482025146,True,False
0,2350,0.34470176696777344,1.1066639423370361,True,False
0,2600,0.30722594261169434,1.3171465396881104,True,False
0,2850,0.3773064613342285,1.361644983291626,True,False
0,3100,0.4337942600250244,1.5028176307678223,True,False
0,3350,0.6277780532836914,2.2210865020751953,True,False
0,3600,0.5208430290222168,2.1624746322631836,True,False
0,3850,0.680164098739624,2.961515188217163,True,False
0,4100,0.6817300319671631,2.9619572162628174,True,False
0,4350,0.7265386581420898,3.487898349761963,True,False
0,4600,0.8997116088867188,3.6507351398468018,True,False
0,4850,0.8678750991821289,4.052576303482056,True,False
0,100,0.034917593002319336,0.0025343894958496094,True,False
0,350,0.13672471046447754,0.037195444107055664,True,False
0,600,0.1028597354888916,0.09525537490844727,True,False
0,850,0.126420259475708,0.1720747947692871,True,False
0,1100,0.1477210521697998,0.30081725120544434,True,False
0,1350,0.17779254913330078,0.41251540184020996,True,False
0,1600,0.17899513244628906,0.5595133304595947,True,False
0,1850,0.2184453010559082,0.7797110080718994,True,False
0,2100,0.2563960552215576,0.925389289855957,True,False
0,2350,0.2884395122528076,1.2143313884735107,True,False
0,2600,0.3330113887786865,1.2963647842407227,True,False
0,2850,0.3222029209136963,1.3470704555511475,True,False
0,3100,0.42584705352783203,1.9164679050445557,True,False
0,3350,0.4952831268310547,2.0675320625305176,True,False
0,3600,0.4911034107208252,2.3516666889190674,True,False
0,3850,0.6763744354248047,2.8601880073547363,True,False
0,4100,0.7671935558319092,3.4840285778045654,True,False
0,4350,0.7113258838653564,3.796891450881958,True,False
0,4600,0.9260261058807373,3.5473506450653076,True,False
0,4850,0.857832670211792,4.154240131378174,True,False
0,100,0.05038642883300781,0.003966808319091797,True,False
0,350,0.18998360633850098,0.047677040100097656,True,False
0,600,0.10744428634643555,0.11984777450561523,True,False
0,850,0.11942911148071289,0.1602950096130371,True,False
0,1100,0.14858007431030273,0.32124996185302734,True,False
0,1350,0.19315242767333984,0.4556400775909424,True,False
0,1600,0.2214038372039795,0.6322410106658936,True,False
0,1850,0.24625444412231445,0.7459323406219482,True,False
0,2100,0.24713611602783203,0.9203710556030273,True,False
0,2350,0.3385739326477051,1.1643869876861572,True,False
0,2600,0.3074023723602295,1.097529649734497,True,False
0,2850,0.34612226486206055,1.389643907546997,True,False
0,3100,0.38271141052246094,1.8551077842712402,True,False
0,3350,0.437854528427124,2.1241657733917236,True,False
0,3600,0.6121399402618408,2.2442831993103027,True,False
0,3850,0.5471394062042236,2.495410680770874,True,False
0,4100,0.7294726371765137,3.305877685546875,True,False
0,4350,1.0972542762756348,3.5847198963165283,True,False
0,4600,0.8946356773376465,3.8428795337677,True,False
0,4850,1.0826547145843506,3.778564929962158,True,False
0,100,0.048049211502075195,0.002917766571044922,True,False
0,350,0.08711075782775879,0.02799534797668457,True,False
0,600,0.14709806442260742,0.10942363739013672,True,False
0,850,0.126145601272583,0.17873525619506836,True,False
0,1100,0.1451711654663086,0.2830948829650879,True,False
0,1350,0.1759331226348877,0.43311476707458496,True,False
0,1600,0.17914772033691406,0.5383317470550537,True,False
0,1850,0.2755727767944336,0.7013916969299316,True,False
0,2100,0.26488637924194336,0.9022836685180664,True,False
0,2350,0.28605127334594727,1.127490758895874,True,False
0,2600,0.32727885246276855,1.3612823486328125,True,False
0,2850,0.4391782283782959,1.5970237255096436,True,False
0,3100,0.4413435459136963,2.103362560272217,True,False
0,3350,0.5114643573760986,2.34366512298584,True,False
0,3600,0.5781054496765137,2.6535403728485107,True,False
0,3850,0.5293381214141846,2.76692271232605,True,False
0,4100,0.8006808757781982,3.2681727409362793,True,False
0,4350,0.810662031173706,3.496476411819458,True,False
0,4600,0.7995269298553467,3.6488895416259766,True,False
0,4850,0.9029881954193115,4.139668941497803,True,False
0,100,0.03555727005004883,0.002988576889038086,True,False
0,350,0.26494789123535156,0.03774833679199219,True,False
0,600,0.14425253868103027,0.1126408576965332,True,False
0,850,0.12199139595031738,0.17193365097045898,True,False
0,1100,0.19417095184326172,0.2588484287261963,True,False
0,1350,0.16509389877319336,0.4140937328338623,True,False
0,1600,0.24551010131835938,0.6117880344390869,True,False
0,1850,0.2395329475402832,0.8157927989959717,True,False
0,2100,0.26212620735168457,0.9442954063415527,True,False
0,2350,0.3146514892578125,1.135094404220581,True,False
0,2600,0.3621201515197754,1.0866546630859375,True,False
0,2850,0.3695187568664551,1.5075914859771729,True,False
0,3100,0.5056979656219482,1.9344007968902588,True,False
0,3350,0.5060091018676758,2.076408624649048,True,False
0,3600,0.5133354663848877,2.1699607372283936,True,False
0,3850,0.6661605834960938,3.0699501037597656,True,False
0,4100,0.6329491138458252,3.3761258125305176,True,False
0,4350,0.778562068939209,3.4632225036621094,True,False
0,4600,0.9294838905334473,3.599177837371826,True,False
0,4850,0.920391321182251,5.434296607971191,True,False
0,100,0.051545143127441406,0.003425121307373047,True,False
0,350,0.11868095397949219,0.04132676124572754,True,False
0,600,0.15024876594543457,0.09909272193908691,True,False
0,850,0.11471343040466309,0.17179131507873535,True,False
0,1100,0.14402532577514648,0.31035399436950684,True,False
0,1350,0.14891743659973145,0.39986419677734375,True,False
0,1600,0.24512887001037598,0.6331019401550293,True,False
0,1850,0.22613883018493652,0.7275378704071045,True,False
0,2100,0.29843568801879883,0.9765162467956543,True,False
0,2350,0.3856673240661621,1.151780128479004,True,False
0,2600,0.2913026809692383,1.1377217769622803,True,False
0,2850,0.3796811103820801,1.3350207805633545,True,False
0,3100,0.5144104957580566,1.9110639095306396,True,False
0,3350,0.5547258853912354,2.275135040283203,True,False
0,3600,0.5326895713806152,2.67673921585083,True,False
0,3850,0.6393365859985352,3.1634507179260254,True,False
0,4100,0.6812193393707275,3.4172422885894775,True,False
0,4350,0.7217426300048828,3.4298603534698486,True,False
0,4600,0.9145221710205078,3.7002923488616943,True,False
0,4850,0.9856195449829102,4.216723203659058,True,False
0,100,0.03701138496398926,0.002102375030517578,True,False
0,350,0.0859980583190918,0.03763771057128906,True,False
0,600,0.15772104263305664,0.09945917129516602,True,False
0,850,0.24013829231262207,0.23902392387390137,True,False
0,1100,0.2576169967651367,0.26019811630249023,True,False
0,1350,0.40802454948425293,0.4727294445037842,True,False
0,1600,0.18989849090576172,0.6306784152984619,True,False
0,1850,0.23950791358947754,0.7612094879150391,True,False
0,2100,0.24872493743896484,0.983065128326416,True,False
0,2350,0.49383544921875,1.1346442699432373,True,False
0,2600,0.3146629333496094,1.1937682628631592,True,False
0,2850,0.3550887107849121,1.6618115901947021,True,False
0,3100,0.38455891609191895,1.700761079788208,True,False
0,3350,0.5179884433746338,2.046428680419922,True,False
0,3600,0.5100712776184082,2.4796910285949707,True,False
0,3850,0.5588207244873047,2.6104354858398438,True,False
0,4100,0.6906173229217529,3.5233845710754395,True,False
0,4350,0.8451464176177979,3.308864116668701,True,False
0,4600,0.8598203659057617,3.679999828338623,True,False
0,4850,1.043175458908081,4.01923680305481,True,False
0,100,0.03829312324523926,0.0022101402282714844,True,False
0,350,0.10975885391235352,0.03388547897338867,True,False
0,600,0.14894533157348633,0.10389471054077148,True,False
0,850,0.1276545524597168,0.17864298820495605,True,False
0,1100,0.13160991668701172,0.30630040168762207,True,False
0,1350,0.18089962005615234,0.4634268283843994,True,False
0,1600,0.2141120433807373,0.6577141284942627,True,False
0,1850,0.22488808631896973,0.8002157211303711,True,False
0,2100,0.3493196964263916,0.87648606300354,True,False
0,2350,0.30408501625061035,1.1571235656738281,True,False
0,2600,0.2812623977661133,1.2989561557769775,True,False
0,2850,0.39093971252441406,1.6587157249450684,True,False
0,3100,0.39169836044311523,1.9141180515289307,True,False
0,3350,0.4990227222442627,2.222393035888672,True,False
0,3600,0.5619802474975586,2.373875379562378,True,False
0,3850,0.5821619033813477,2.991786003112793,True,False
0,4100,0.6262333393096924,3.1249496936798096,True,False
0,4350,0.8699302673339844,3.446852445602417,True,False
0,4600,0.8753535747528076,3.857840061187744,True,False
0,4850,1.0531282424926758,4.421590805053711,True,False
0,100,0.034079551696777344,0.0020155906677246094,True,False
0,350,0.2599480152130127,0.07362818717956543,True,False
0,600,0.11541533470153809,0.10900068283081055,True,False
0,850,0.1389322280883789,0.19313907623291016,True,False
0,1100,0.2924990653991699,0.2420179843902588,True,False
0,1350,0.17598581314086914,0.4159355163574219,True,False
0,1600,0.21594929695129395,0.5622949600219727,True,False
0,1850,0.20429682731628418,0.8485770225524902,True,False
0,2100,0.2339186668395996,0.9737253189086914,True,False
0,2350,0.2638216018676758,0.9282979965209961,True,False
0,2600,0.38075828552246094,1.4225609302520752,True,False
0,2850,0.4232480525970459,1.52890944480896,True,False
0,3100,0.446197509765625,1.8580667972564697,True,False
0,3350,0.6675338745117188,2.119418144226074,True,False
0,3600,0.5126321315765381,2.30961537361145,True,False
0,3850,0.6478307247161865,3.09346604347229,True,False
0,4100,0.6469368934631348,3.2472426891326904,True,False
0,4350,0.8912711143493652,3.0701496601104736,True,False
0,4600,0.8539009094238281,3.592862129211426,True,False
0,4850,1.1095459461212158,4.229468822479248,True,False
0,100,0.0344700813293457,0.002028226852416992,True,False
0,350,0.19880461692810059,0.02983832359313965,True,False
0,600,0.10530567169189453,0.09276294708251953,True,False
0,850,0.1408233642578125,0.19072318077087402,True,False
0,1100,0.15258455276489258,0.26159119606018066,True,False
0,1350,0.17352056503295898,0.46172499656677246,True,False
0,1600,0.16663718223571777,0.5418071746826172,True,False
0,1850,0.21927762031555176,0.8025574684143066,True,False
0,2100,0.2577250003814697,0.8736107349395752,True,False
0,2350,0.28503894805908203,1.1763057708740234,True,False
0,2600,0.285109281539917,1.119358777999878,True,False
0,2850,0.3972752094268799,1.609494686126709,True,False
0,3100,0.5080132484436035,1.989875078201294,True,False
0,3350,0.5908875465393066,2.0016427040100098,True,False
0,3600,0.5893518924713135,2.7143735885620117,True,False
0,3850,0.6553058624267578,3.1010820865631104,True,False
0,4100,0.6363871097564697,3.148538589477539,True,False
0,4350,0.8175585269927979,3.173970937728882,True,False
0,4600,0.9263813495635986,3.70428729057312,True,False
0,4850,0.970374345779419,3.9561574459075928,True,False
0,100,0.043126821517944336,0.0024008750915527344,True,False
0,350,0.09257817268371582,0.029141902923583984,True,False
0,600,0.12349057197570801,0.1153557300567627,True,False
0,850,0.1318037509918213,0.17039036750793457,True,False
0,1100,0.15379738807678223,0.2918055057525635,True,False
0,1350,0.16194677352905273,0.4139556884765625,True,False
0,1600,0.19349217414855957,0.5751721858978271,True,False
0,1850,0.24387478828430176,0.794593095779419,True,False
0,2100,0.24365949630737305,0.8911631107330322,True,False
0,2350,0.2612326145172119,0.9109632968902588,True,False
0,2600,0.3461575508117676,1.449927806854248,True,False
0,2850,0.43236660957336426,1.632089376449585,True,False
0,3100,0.4108879566192627,1.9956116676330566,True,False
0,3350,0.51902174949646,2.0120205879211426,True,False
0,3600,0.587639570236206,2.737605571746826,True,False
0,3850,0.6230597496032715,3.2460432052612305,True,False
0,4100,0.9019782543182373,3.208963632583618,True,False
0,4350,0.8242406845092773,3.413867950439453,True,False
0,4600,0.9270315170288086,3.659886121749878,True,False
0,4850,0.9113070964813232,4.201578855514526,True,False
0,100,0.036649227142333984,0.00246429443359375,True,False
0,350,0.08353281021118164,0.13390779495239258,True,False
0,600,0.11793708801269531,0.10092282295227051,True,False
0,850,0.10259556770324707,0.1751415729522705,True,False
