n_particles,direct_slow,direct_fast,vectorized_slow,vectorized_fast,direct_parallel
250,0.27597880363464355,0.005324602127075195,0.008297920227050781,0.005842685699462891,0.0006783008575439453
250,0.24367260932922363,0.005861043930053711,0.004196643829345703,0.009653806686401367,0.0006470680236816406
250,0.24261808395385742,0.006618976593017578,0.005777597427368164,0.010506629943847656,0.0005891323089599609
250,0.24229812622070312,0.005431652069091797,0.005088329315185547,0.009656906127929688,0.000560760498046875
250,0.25821781158447266,0.005097150802612305,0.004649639129638672,0.006438493728637695,0.0005910396575927734
250,0.24122262001037598,0.005572795867919922,0.003606081008911133,0.0063211917877197266,0.0006012916564941406
250,0.24191856384277344,0.005001068115234375,0.0035376548767089844,0.008496284484863281,0.0006148815155029297
250,0.24518251419067383,0.005026102066040039,0.003509998321533203,0.006911039352416992,0.0005974769592285156
250,0.2702445983886719,0.005112409591674805,0.0044193267822265625,0.008228302001953125,0.0006377696990966797
250,0.24829816818237305,0.0050389766693115234,0.003624439239501953,0.006839752197265625,0.0005609989166259766
250,0.24286389350891113,0.0050241947174072266,0.0034885406494140625,0.007178068161010742,0.0005946159362792969
250,0.2433178424835205,0.0051081180572509766,0.0035851001739501953,0.006285667419433594,0.0005638599395751953
250,0.24313926696777344,0.005278825759887695,0.003696918487548828,0.0062770843505859375,0.0007715225219726562
250,0.24674510955810547,0.005061626434326172,0.003604412078857422,0.006252765655517578,0.0008645057678222656
250,0.2417898178100586,0.005005836486816406,0.0035669803619384766,0.006206512451171875,0.0008263587951660156
250,0.24697470664978027,0.005130290985107422,0.003601551055908203,0.008505821228027344,0.0007410049438476562
250,0.24309611320495605,0.005051612854003906,0.003578662872314453,0.009575366973876953,0.0006871223449707031
250,0.2724606990814209,0.005059480667114258,0.0037698745727539062,0.006659746170043945,0.0007908344268798828
250,0.24365878105163574,0.00522160530090332,0.0035643577575683594,0.006382942199707031,0.0007793903350830078
250,0.25268006324768066,0.005083322525024414,0.0037441253662109375,0.00627899169921875,0.0005640983581542969
250,0.2416553497314453,0.005057334899902344,0.0052411556243896484,0.006379604339599609,0.0006937980651855469
250,0.24407529830932617,0.0051271915435791016,0.005251407623291016,0.0070683956146240234,0.0005748271942138672
250,0.24144411087036133,0.0050029754638671875,0.004659891128540039,0.009580135345458984,0.000598907470703125
250,0.243239164352417,0.005012035369873047,0.0058057308197021484,0.007708311080932617,0.0007166862487792969
250,0.2450871467590332,0.005082845687866211,0.004826545715332031,0.00630950927734375,0.0008652210235595703
250,0.2565157413482666,0.0050199031829833984,0.0044825077056884766,0.006219387054443359,0.0006000995635986328
250,0.27141666412353516,0.005004405975341797,0.0040814876556396484,0.006211757659912109,0.0005466938018798828
250,0.24323320388793945,0.00519871711730957,0.003807544708251953,0.006143808364868164,0.0005993843078613281
250,0.24445486068725586,0.005039691925048828,0.004705667495727539,0.006199359893798828,0.0008502006530761719
250,0.24249815940856934,0.005017280578613281,0.004229307174682617,0.006243705749511719,0.0005359649658203125
250,0.24221110343933105,0.0050928592681884766,0.005276679992675781,0.005939960479736328,0.0005249977111816406
250,0.2414085865020752,0.005043983459472656,0.005380153656005859,0.006152153015136719,0.0005252361297607422
