index,n_particles,n_simulations,parallel_time,serial_time
0,250,1,1.3978478908538818,0.007111787796020508
0,500,1,1.419503927230835,0.026272296905517578
0,750,1,1.4514973163604736,0.06402254104614258
0,1000,1,1.4629347324371338,0.11234760284423828
0,1250,1,1.5060646533966064,0.21746230125427246
0,1500,1,1.6043086051940918,0.2363276481628418
0,1750,1,1.689521312713623,0.33936214447021484
0,2000,1,1.7851595878601074,0.41900181770324707
0,250,2,1.4821343421936035,0.014069795608520508
0,500,2,1.4807443618774414,0.05099010467529297
0,750,2,1.6087698936462402,0.12542319297790527
0,1000,2,1.6418581008911133,0.20868587493896484
0,1250,2,1.6169357299804688,0.3362584114074707
0,1500,2,1.75380539894104,0.4768497943878174
0,1750,2,2.0054574012756348,0.6616950035095215
0,2000,2,1.9241461753845215,0.8398032188415527
0,250,3,1.8205065727233887,0.019924163818359375
0,500,3,1.8652637004852295,0.07776808738708496
0,750,3,1.883631706237793,0.1838531494140625
0,1000,3,1.8462376594543457,0.31444549560546875
0,1250,3,1.9545211791992188,0.585150957107544
0,1500,3,2.155994176864624,0.7223360538482666
0,1750,3,2.315282106399536,0.964299201965332
0,2000,3,2.3830678462982178,1.2460191249847412
0,250,4,1.9770779609680176,0.028397321701049805
0,500,4,2.2688426971435547,0.11652421951293945
0,750,4,2.099597930908203,0.25123023986816406
0,1000,4,2.1132261753082275,0.42352867126464844
0,1250,4,2.2769341468811035,0.6515412330627441
0,1500,4,2.4350476264953613,0.9273486137390137
0,1750,4,2.6425411701202393,1.2861309051513672
0,2000,4,3.2193403244018555,1.7789037227630615
0,250,5,3.1100025177001953,0.04223060607910156
0,500,5,2.683159112930298,0.1665637493133545
0,750,5,3.056725025177002,0.33157873153686523
0,1000,5,2.8058876991271973,0.5560953617095947
0,1250,5,2.9397332668304443,0.9847309589385986
0,1500,5,3.144914150238037,1.1902835369110107
0,1750,5,3.6068074703216553,1.7083358764648438
0,2000,5,3.8181819915771484,2.380157947540283
0,250,1,1.6417884826660156,0.007281780242919922
0,500,1,1.4222068786621094,0.02648138999938965
0,750,1,1.40804123878479,0.06412172317504883
0,1000,1,1.5232653617858887,0.10702013969421387
0,1250,1,1.5718681812286377,0.17365813255310059
0,1500,1,1.6002285480499268,0.25423693656921387
0,1750,1,1.70540452003479,0.3371002674102783
0,2000,1,1.7842857837677002,0.41605353355407715
0,250,2,1.765242099761963,0.014443159103393555
0,500,2,1.7775828838348389,0.0572206974029541
0,750,2,1.740997552871704,0.1464390754699707
0,1000,2,1.8483960628509521,0.22540545463562012
0,1250,2,1.8706839084625244,0.35753655433654785
0,1500,2,1.8869166374206543,0.49228811264038086
0,1750,2,2.222365617752075,0.6728005409240723
0,2000,2,2.229522943496704,0.8551218509674072
0,250,3,2.1489017009735107,0.02377915382385254
0,500,3,2.1668665409088135,0.08771634101867676
0,750,3,2.2176127433776855,0.22376418113708496
0,1000,3,2.3118326663970947,0.3353114128112793
0,1250,3,2.369406223297119,0.5188570022583008
0,1500,3,2.3863422870635986,0.724114179611206
0,1750,3,2.4914872646331787,0.9983346462249756
0,2000,3,3.0188653469085693,1.449974775314331
0,250,4,2.3472096920013428,0.033499717712402344
0,500,4,2.49057674407959,0.11905384063720703
0,750,4,2.5204687118530273,0.31400275230407715
0,1000,4,2.627530097961426,0.467449426651001
0,1250,4,2.928392171859741,0.706526517868042
0,1500,4,2.8443374633789062,0.9724612236022949
0,1750,4,3.0183205604553223,1.316222906112671
0,2000,4,3.3898444175720215,1.9609103202819824
