index,n_particles,n_simulations,integrators,parallel_time,serial_time,std_numpy
0,250,1,integrator_leapfrog,0.053455352783203125,0.02730870246887207,True
0,250,2,integrator_leapfrog,0.0752420425415039,0.05208134651184082,True
0,250,3,integrator_leapfrog,0.12315154075622559,0.08260178565979004,True
0,250,4,integrator_leapfrog,0.12825655937194824,0.11938738822937012,True
0,250,5,integrator_leapfrog,0.14895153045654297,0.1289072036743164,True
0,500,1,integrator_leapfrog,0.16699910163879395,0.0914773941040039,True
0,500,2,integrator_leapfrog,0.14891815185546875,0.17172813415527344,True
0,500,3,integrator_leapfrog,0.22108078002929688,0.26884937286376953,True
0,500,4,integrator_leapfrog,0.29140734672546387,0.326369047164917,True
0,500,5,integrator_leapfrog,0.41211986541748047,0.4398319721221924,True
0,750,1,integrator_leapfrog,0.22968220710754395,0.19218921661376953,True
0,750,2,integrator_leapfrog,0.28226733207702637,0.5087189674377441,True
0,750,3,integrator_leapfrog,0.6734380722045898,0.5529122352600098,True
0,750,4,integrator_leapfrog,0.7129790782928467,0.7655494213104248,True
0,750,5,integrator_leapfrog,0.8023684024810791,0.8534448146820068,True
0,1000,1,integrator_leapfrog,0.348146915435791,0.3394432067871094,True
0,1000,2,integrator_leapfrog,0.5046648979187012,0.6850318908691406,True
0,1000,3,integrator_leapfrog,0.7948012351989746,0.9745583534240723,True
0,1000,4,integrator_leapfrog,0.9368071556091309,1.3107373714447021,True
0,1000,5,integrator_leapfrog,1.2741718292236328,1.5571777820587158,True
0,1250,1,integrator_leapfrog,0.5608980655670166,0.5230765342712402,True
0,1250,2,integrator_leapfrog,0.8529915809631348,1.0061752796173096,True
0,1250,3,integrator_leapfrog,1.1394386291503906,1.6052756309509277,True
0,1250,4,integrator_leapfrog,1.3570656776428223,2.346625328063965,True
0,1250,5,integrator_leapfrog,1.6485366821289062,2.7952687740325928,True
0,1500,1,integrator_leapfrog,0.8220798969268799,0.7830581665039062,True
0,1500,2,integrator_leapfrog,1.239835500717163,1.4954538345336914,True
0,1500,3,integrator_leapfrog,1.4606704711914062,2.5813632011413574,True
0,1500,4,integrator_leapfrog,2.0360915660858154,3.5616116523742676,True
0,1500,5,integrator_leapfrog,2.370187282562256,4.369600057601929,True
0,1750,1,integrator_leapfrog,1.3285789489746094,1.1902379989624023,True
0,1750,2,integrator_leapfrog,1.5905823707580566,2.0814156532287598,True
0,1750,3,integrator_leapfrog,2.111525774002075,3.022581100463867,True
0,1750,4,integrator_leapfrog,3.070624589920044,4.735536098480225,True
0,1750,5,integrator_leapfrog,3.520641803741455,5.968621253967285,True
0,2000,1,integrator_leapfrog,1.6500134468078613,1.258101463317871,True
0,2000,2,integrator_leapfrog,2.131331205368042,3.007244825363159,True
0,2000,3,integrator_leapfrog,2.966703176498413,4.741605520248413,True
0,2000,4,integrator_leapfrog,3.639441967010498,6.17536473274231,True
0,2000,5,integrator_leapfrog,4.506598472595215,7.232148885726929,True
0,250,1,integrator_leapfrog,0.062456607818603516,0.041564226150512695,True
0,250,2,integrator_leapfrog,0.17681574821472168,0.11503744125366211,True
0,250,3,integrator_leapfrog,0.23456501960754395,0.13129305839538574,True
0,250,4,integrator_leapfrog,0.21329164505004883,0.16435670852661133,True
0,250,5,integrator_leapfrog,0.38321518898010254,0.2298119068145752,True
0,500,1,integrator_leapfrog,0.185713529586792,0.13642430305480957,True
0,500,2,integrator_leapfrog,0.24695420265197754,0.2551257610321045,True
0,500,3,integrator_leapfrog,0.38443684577941895,0.29291319847106934,True
0,500,4,integrator_leapfrog,0.37457871437072754,0.4346961975097656,True
0,500,5,integrator_leapfrog,0.45258665084838867,0.5407187938690186,True
0,750,1,integrator_leapfrog,0.23603558540344238,0.20448756217956543,True
0,750,2,integrator_leapfrog,0.3945434093475342,0.4494740962982178,True
0,750,3,integrator_leapfrog,0.5501039028167725,0.6093840599060059,True
0,750,4,integrator_leapfrog,0.6816525459289551,1.0526056289672852,True
0,750,5,integrator_leapfrog,0.8842158317565918,1.0518901348114014,True
