mass,x,y,z,vx,vy,vz
0.01,-0.0010880018435369748,-0.08317924035113672,-0.034549513177312176,0.4810816421785521,-0.08900559457972554,0.2800834210356313
0.01,-0.6993866153768912,-1.0922071286473969,-0.3426392572561601,-0.05413608189610644,0.4960555577027537,-0.18140271670574482
0.01,0.3345998287906594,-0.2870303005968371,0.4213734435662098,-0.0596048523732584,0.31841958512470214,-0.2281242589562342
0.01,-0.27022731116639587,-0.15118643442492,-0.062322209180871016,0.025693745395740757,0.9107563904633033,0.05588977744747487
0.01,0.11183686655457975,-0.6764277222137071,1.1172813696532813,-0.13197941642775546,-0.7693494159822022,0.23948561630494716
0.01,-0.28363618845044086,0.11549876966171566,-0.5236846919875449,0.17398145365774415,0.14451455651752754,0.059172919782411446
0.01,-1.0956959053638682,-0.3914690018626404,0.22994723348548013,0.24581662085182213,-0.3666954525440771,0.044380737476710216
0.01,-0.3389643423786199,-0.18155504708363235,0.018619939929091684,-0.3187486292106957,-0.8688134991163122,0.32732300358969424
0.01,0.2195713635243171,1.6799013100261881,-0.28614362121691905,-0.4702032884860016,-0.14373526921450777,0.03609651045153549
0.01,0.4039608452220274,-0.6312578389519345,-1.4166743442473853,-0.5571021330280196,-0.18717749736857664,-0.10433087586289323
0.01,0.10334480739400904,0.11460058079351274,0.06968949466435878,-0.6134304885666894,-0.6924451685656765,-0.02155850071944393
0.01,0.906535884943257,-0.15773676424434047,-0.5534379851992288,-0.15168665989555155,-0.48982765312701293,0.24682704155863872
0.01,-0.06723496165991144,0.18489104548979157,0.02327420783342932,-0.25388596581980616,0.2866288165580485,-0.16688401465735103
0.01,0.34387586114426877,-0.18592111312293616,-0.3858497516297348,-0.20845781461577326,0.7281183773716001,0.22650906743550053
0.01,5.364370160131255,-0.2958881047747518,-0.8649181769110108,0.21797238280426812,0.10902952642019047,-0.10808669835527057
0.01,0.09758646677515981,0.11408960766005279,0.606176418095677,0.425960418087169,0.2907205338798704,0.9750469546636572
0.01,0.3321672917190291,-0.1999859500265923,0.02469913048234522,-1.0180376772160875,-0.05227066979258507,0.22924797689773982
0.01,-2.5995024274886482,7.8207998538168555,-3.847638591018297,-0.21439553271091039,0.14901816687238334,-0.0921963360467017
0.01,-1.8852300997213869,-0.8553773012507963,-1.1339234522844264,-0.4025133066177876,0.06152528401067356,0.2539580990137579
0.01,-0.988068345064035,0.6040083723428126,0.13852827249890917,0.03635243033238496,0.015662469017223134,-0.4359119971682041
0.01,-2.9722033529762006,1.857266125064503,1.347354111840506,0.07219902102239606,0.41497019282897335,0.1516020815203391
0.01,-0.2026600116831641,0.03666592431740904,0.552316050587799,-0.6435426429202192,-0.1881535515642276,0.11563254139091694
